relative_path,label,label_name,source,target1,target2,method,category,type,race,gender,filename
FakeVideo-FakeAudio/African/men/id00076/00109_4_id01691_wavtolip.mp4,1,fake,id00076,4,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00109_4_id01691_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00076/00109_8_id00166_wavtolip.mp4,1,fake,id00076,8,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00109_8_id00166_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00076/00109_id00173_UHoMXLSjlDo_id00475_wavtolip.mp4,1,fake,id00076,id00173,id00475,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00109_id00173_UHoMXLSjlDo_id00475_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id00166_wavtolip.mp4,1,fake,id00173,id00476,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00118_id00476_UgdYVJ6xPYg_faceswap_id00166_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id01530_wavtolip.mp4,1,fake,id00173,id00476,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00118_id00476_UgdYVJ6xPYg_faceswap_id01530_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00476/00109_id00944_wavtolip.mp4,1,fake,id00476,id00944,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00109_id00944_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00478/00109_11_id02005_wavtolip.mp4,1,fake,id00478,11,-,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00109_11_id02005_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00701/00092_id01717_JDW6p8yU13A_id02005_wavtolip.mp4,1,fake,id00701,id01717,id02005,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00092_id01717_JDW6p8yU13A_id02005_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00761/00072_id01717_JDW6p8yU13A_id00761_wavtolip.mp4,1,fake,id00761,id01717,id00761,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00072_id01717_JDW6p8yU13A_id00761_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id00781/00092_id02316_wavtolip.mp4,1,fake,id00781,id02316,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00092_id02316_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01076/00005_id01972_hBYoeQTm8ZQ_id01530_wavtolip.mp4,1,fake,id01076,id01972,id01530,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00005_id01972_hBYoeQTm8ZQ_id01530_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01170/00021_id00391_TjJgUZaenWI_id01598_wavtolip.mp4,1,fake,id01170,id00391,id01598,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00021_id00391_TjJgUZaenWI_id01598_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01170/00021_id00761_wavtolip.mp4,1,fake,id01170,id00761,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00021_id00761_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01171/00053_id01933_I5XXxgK7QpE_id01521_wavtolip.mp4,1,fake,id01171,id01933,id01521,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00053_id01933_I5XXxgK7QpE_id01521_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01171/00053_id02005_wavtolip.mp4,1,fake,id01171,id02005,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00053_id02005_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01179/00160_id00476_UgdYVJ6xPYg_id01856_wavtolip.mp4,1,fake,id01179,id00476,id01856,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00160_id00476_UgdYVJ6xPYg_id01856_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01207/00320_id01544_wavtolip.mp4,1,fake,id01207,id01544,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00320_id01544_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01236/00005_id01610_l8zb_iaDJJA_faceswap_id00830_wavtolip.mp4,1,fake,id01236,id01610,iaDJJA,faceswap-wav2lip,D,FakeVideo-FakeAudio,African,men,00005_id01610_l8zb_iaDJJA_faceswap_id00830_wavtolip.mp4
FakeVideo-FakeAudio/African/men/id01521/00109_id00781_wavtolip.mp4,1,fake,id01521,id00781,-,wav2lip,D,FakeVideo-FakeAudio,African,men,00109_id00781_wavtolip.mp4
