relative_path,label,label_name,split,language,generative_method,open_set_model,open_set_language,audio_generative_method,audio_fake,video_fake
english/echomimic/01688_bM1LXa68oxc_42_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/02149_CWEWBgVwFc8_69_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/06433_bkCpQk_K_jg_281_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/102_870tYRNh86o_5_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/119_coAopEn8Fn4_224_3_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/131_c_YLAhZpfMI_25_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/14244_DbQjrA9VPjY_85_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/17289_0xfJy96HJqo_25_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/17359_D1m1SQIdMkk_36_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/20412_cbtkoZUOR1A_44_11_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/21828_5uTDzBwwyho_107_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/222_CeUoS2T2hhc_103_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/243_CV1yPkkUFOw_148_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/256_CWEWBgVwFc8_130_3_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/260_9C7jAAxWnqA_268_4_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/264_CV1yPkkUFOw_6_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/27421_cbtkoZUOR1A_19_3_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/282_AbpNlshqtJc_47_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/28323_bM1LXa68oxc_241_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/2_2ShZKR5Uo2I_73_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/333_0Mi0miIN6tA_19_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/36_543mYKKh1EE_9_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/376_5z_krRwSyt8_4_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/38591_0_M_syPuFos_194_2_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/387_0_M_syPuFos_180_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/39045_CeUoS2T2hhc_106_5_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/396_D1m1SQIdMkk_16_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/399_647itg-A_aw_35_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/403_1GRt0j698T4_125_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/406_cbtkoZUOR1A_20_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/41197_0_M_syPuFos_104_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/418_9_O7qXqrMfE_91_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/41912_7ZVu5N4gOgY_30_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/430_bM1LXa68oxc_208_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/459_2ShZKR5Uo2I_28_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/45_DbQjrA9VPjY_89_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/47151_bM1LXa68oxc_155_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/473_cbtkoZUOR1A_55_8_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/48278_d2om_PGtwWY_25_1_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/48686_cbtkoZUOR1A_28_9_audio_short_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
english/echomimic/496_cbtkoZUOR1A_24_1_audio_3_512x512_1_0732_withaudio.mp4,1,fake,train,english,echomimic,False,False,real,False,True
